CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600028,Ramirez,558.0,Germany,Female,42,3.0,200408.95,1,0,1,113155.88,1
15600029,Thompson,601.0,Germany,Female,38,3.0,0.0,1,1,0,152470.92,0
15600030,Thompson,641.0,Germany,Female,51,7.0,0.0,1,1,1,147047.93,0
15600031,Lopez,576.0,Germany,Male,34,6.0,84410.56,2,1,0,82849.96,1
15600032,Jones,698.0,France,Female,52,2.0,38307.59,2,1,1,88607.61,0
15600033,Ramirez,684.0,Germany,Male,64,3.0,78326.7,1,1,0,134087.86,0
15600034,Hall,546.0,Germany,Male,86,10.0,156072.84,2,1,0,71682.56,1
15600035,Brown,765.0,France,Male,56,10.0,0.0,2,0,0,164135.01,0
15600036,Nelson,660.0,France,Female,53,4.0,80028.92,2,1,0,81297.93,0
15600037,Adams,484.0,Germany,Female,70,8.0,0.0,2,1,1,42010.44,0
15600038,Wilson,645.0,France,Female,41,0.0,53861.25,1,0,1,15560.34,0
15600039,Young,677.0,Germany,Male,45,9.0,103758.93,2,1,1,32117.3,0
15600040,Rodriguez,743.0,France,Female,63,3.0,61543.45,1,1,1,113401.88,0
15600041,Nguyen,618.0,Spain,Female,48,6.0,0.0,2,1,1,25154.49,0
15600042,Scott,729.0,France,Female,50,6.0,75341.95,2,1,1,77472.28,0
15600043,Moore,668.0,Spain,Male,55,9.0,75365.2,1,0,1,89698.03,0
15600044,Brown,524.0,Spain,Female,42,10.0,93523.0,1,1,1,23950.91,0
15600045,Carter,514.0,Germany,Female,38,4.0,86411.15,1,0,1,99915.38,1
15600046,Thompson,758.0,France,Male,44,5.0,0.0,1,1,0,149665.61,0
15600047,Hall,765.0,France,Male,49,7.0,94358.0,1,1,1,138325.01,0
15600048,King,681.0,France,Male,60,6.0,59368.4,2,1,1,23259.02,0
15600049,Hill,794.0,France,Male,54,3.0,0.0,2,1,1,78975.81,0
15600050,Nguyen,751.0,Germany,Male,63,4.0,88975.75,1,1,1,42500.68,0
15600051,Martinez,716.0,France,Female,53,6.0,0.0,2,1,0,4792.2,0
15600052,Jackson,563.0,France,Female,65,10.0,109599.1,2,1,1,150567.8,0
15600053,White,816.0,Germany,Female,51,0.0,69676.88,1,1,0,165442.73,1
15600054,Harris,701.0,France,Male,35,2.0,0.0,1,1,1,54047.28,0
15600055,Williams,613.0,France,Male,47,8.0,0.0,2,1,0,48659.56,0
15600056,Ramirez,586.0,Spain,Female,55,6.0,0.0,1,0,1,62156.63,0
15600057,Davis,675.0,France,Female,61,4.0,102824.46,4,1,1,132154.01,1
15600058,Nguyen,490.0,Germany,Female,48,3.0,47133.51,2,1,0,193074.12,0
15600059,Wright,717.0,Spain,Female,56,10.0,67411.14,2,0,1,121849.16,0
15600060,Campbell,558.0,France,Female,49,9.0,71431.2,1,1,0,198974.49,0
15600061,Nguyen,686.0,Spain,Female,45,9.0,82227.53,1,1,1,76411.73,0
15600062,Jackson,600.0,Germany,Female,61,3.0,68586.63,1,1,1,18005.13,0
15600063,Carter,625.0,France,Male,59,6.0,40526.67,1,0,1,122894.18,0
15600064,Lee,577.0,Spain,Male,92,10.0,0.0,4,1,1,61946.16,1
15600065,Taylor,635.0,France,Female,48,2.0,170169.23,2,1,0,152714.12,1
15600066,Rivera,831.0,Spain,Male,72,2.0,66565.2,1,1,0,64268.77,0
15600067,Jackson,783.0,Spain,Male,40,6.0,51040.96,1,1,1,98793.58,0
15600068,Brown,684.0,France,Male,72,2.0,169578.39,1,1,0,84145.85,0
15600069,White,648.0,France,Female,54,8.0,0.0,1,1,1,149529.91,0
15600070,Flores,731.0,France,Male,49,9.0,74348.2,1,0,1,176398.72,0
15600071,Martinez,758.0,Spain,Female,59,5.0,99404.63,1,1,0,32770.29,0
15600072,White,570.0,Spain,Female,60,10.0,0.0,1,1,0,198961.39,0
15600073,Miller,643.0,France,Female,70,6.0,133246.52,1,0,1,129693.94,0
15600074,Wright,475.0,France,Male,44,4.0,54032.86,1,1,1,157413.43,0
15600075,White,758.0,Germany,Female,39,9.0,88129.22,1,1,0,29677.48,0
15600076,Taylor,848.0,France,Female,59,6.0,54693.81,1,0,1,58650.61,0
15600077,Lopez,658.0,France,Male,58,1.0,104338.09,1,1,0,198668.52,0
15600078,Lewis,446.0,France,Female,69,9.0,0.0,1,1,1,85925.98,0
15600079,King,708.0,Spain,Male,48,5.0,103776.87,2,1,0,26539.87,0
15600080,Mitchell,563.0,France,Female,46,3.0,60932.65,1,1,1,60164.31,0
15600081,Perez,586.0,Germany,Female,58,9.0,139813.18,1,1,1,190293.44,1
15600082,Rodriguez,710.0,Spain,Male,54,8.0,67847.79,1,1,0,36014.46,0
15600083,Adams,674.0,France,Female,61,4.0,0.0,1,0,0,126643.32,0
15600084,Young,603.0,Spain,Male,46,10.0,62981.87,2,1,1,128666.97,1
15600085,Scott,588.0,France,Female,72,9.0,49126.91,2,1,1,78716.35,0
15600086,Jones,662.0,France,Female,57,1.0,63456.52,1,1,1,123002.26,0
15600087,Thomas,611.0,Spain,Male,69,6.0,26471.76,1,1,0,101128.48,0
15600088,Hill,544.0,France,Female,52,7.0,54846.18,2,0,0,193142.05,0
15600089,Adams,618.0,Germany,Female,45,4.0,234121.43,1,1,1,152858.37,1
15600090,Perez,683.0,Spain,Male,59,5.0,25119.33,2,1,1,168954.2,0
15600091,Green,633.0,France,Female,63,10.0,0.0,2,1,1,13534.92,1
15600092,Nelson,514.0,Germany,Male,38,6.0,195582.51,2,1,1,82523.65,0
15600093,Martin,745.0,Spain,Male,83,1.0,58002.3,1,1,0,108412.07,1
15600094,Hall,387.0,France,Male,46,9.0,74497.38,1,1,1,95253.35,0
15600095,Anderson,607.0,Spain,Male,56,3.0,0.0,1,1,1,84686.56,0
15600096,Lopez,590.0,Germany,Male,62,1.0,42544.71,2,1,0,189563.93,1
15600097,Wright,664.0,France,Male,54,2.0,142869.99,3,1,1,136622.12,0
15600098,Young,704.0,France,Female,55,9.0,84605.39,1,1,0,152394.61,0
15600099,Miller,758.0,France,Male,55,10.0,0.0,1,1,1,108394.9,0
15600100,Adams,582.0,France,Female,36,2.0,136599.02,2,1,1,122329.5,0
15600101,Martinez,706.0,France,Male,56,1.0,49077.18,1,0,0,181108.57,0
15600102,Green,669.0,Spain,Male,48,10.0,0.0,1,1,0,171056.04,0
15600103,Smith,486.0,Germany,Female,69,1.0,56573.51,1,1,0,33190.67,0
15600104,Flores,832.0,Spain,Male,65,6.0,50765.53,2,1,1,128475.42,0
15600105,Flores,512.0,France,Male,40,2.0,219944.92,1,1,1,137097.68,0
15600106,Flores,690.0,France,Female,39,2.0,94533.52,2,0,0,6870.36,0
15600107,King,687.0,France,Male,84,6.0,0.0,2,1,1,120848.05,0
15600108,White,676.0,France,Male,32,1.0,0.0,1,1,1,165410.9,0
15600109,Scott,603.0,Spain,Female,47,2.0,56214.79,2,1,1,48048.44,0
15600110,Wilson,729.0,France,Male,42,7.0,0.0,2,0,1,60072.06,0
15600111,Flores,500.0,Germany,Female,71,3.0,77447.28,1,0,0,172612.35,0
15600112,Ramirez,644.0,France,Male,52,10.0,42351.24,1,1,1,124654.86,0
15600113,Thompson,596.0,Spain,Male,46,5.0,0.0,1,1,0,192838.66,0
15600114,Sanchez,585.0,Germany,Male,55,1.0,0.0,2,1,1,183845.54,0
15600115,Lewis,691.0,Spain,Male,82,6.0,0.0,2,1,0,6540.03,1
15600116,Johnson,753.0,Germany,Female,60,6.0,225559.35,1,0,0,55635.64,1
15600117,Miller,617.0,Germany,Female,60,6.0,0.0,2,1,1,37773.63,0
15600118,Gonzalez,725.0,Spain,Female,38,10.0,103182.7,2,0,1,40198.21,0
15600119,Garcia,655.0,France,Male,69,6.0,88866.7,1,0,1,145288.38,0
15600120,Perez,564.0,France,Female,44,8.0,65156.31,1,1,0,125366.63,1
15600121,King,625.0,Germany,Female,59,7.0,62837.39,4,0,0,132603.1,1
15600122,Allen,621.0,France,Male,45,2.0,59078.49,1,1,1,161882.93,0
15600123,White,583.0,Germany,Male,54,9.0,0.0,2,1,1,26283.41,0
15600124,Nelson,691.0,France,Male,54,7.0,0.0,2,1,0,68720.66,0
15600125,Lewis,673.0,Spain,Male,92,7.0,0.0,2,0,0,72388.38,0
15600126,Brown,497.0,France,Male,49,0.0,58809.36,2,1,1,24168.75,0
15600127,Hill,491.0,Germany,Male,58,7.0,83835.69,1,0,1,167050.38,0
15600128,Lewis,691.0,France,Female,52,1.0,0.0,1,0,1,167994.36,0
15600129,Young,572.0,France,Male,41,4.0,113496.25,1,1,0,157082.32,0
15600130,Lewis,679.0,Germany,Male,59,6.0,0.0,2,1,0,27832.11,0
15600131,Ramirez,725.0,France,Female,66,10.0,87986.87,2,1,1,62122.18,0
15600132,Jones,528.0,France,Male,42,1.0,0.0,1,1,1,45707.1,0
15600133,Ramirez,514.0,Germany,Male,51,8.0,114747.59,1,1,0,180135.27,1
15600134,Flores,811.0,Germany,Male,55,5.0,120778.37,1,1,1,105892.29,0
15600135,Thomas,684.0,France,Female,65,6.0,129829.27,2,1,0,34593.36,0
15600136,Walker,610.0,Spain,Male,65,10.0,0.0,2,0,0,39732.19,0
15600137,Johnson,560.0,France,Female,38,4.0,103201.22,2,1,0,53476.33,0
15600138,Moore,601.0,France,Female,84,1.0,71408.38,1,1,0,141588.06,1
15600139,Perez,536.0,Spain,Female,61,0.0,0.0,2,1,0,106350.46,0
15600140,Roberts,735.0,France,Female,54,3.0,0.0,1,0,1,161037.96,0
15600141,Hernandez,575.0,France,Female,64,10.0,102242.66,3,0,1,117715.24,1
15600142,Wilson,755.0,France,Female,74,2.0,78860.45,2,1,1,94341.69,0
15600143,Lee,612.0,Germany,Male,52,1.0,61940.71,1,1,0,114745.49,1
15600144,Roberts,550.0,Spain,Male,51,0.0,92323.35,1,1,0,166544.72,0
15600145,Nelson,609.0,France,Male,41,5.0,155003.42,2,1,0,141535.88,0
15600146,Johnson,398.0,Germany,Male,51,3.0,63180.07,2,0,1,98303.96,1
15600147,Lopez,638.0,Germany,Male,62,3.0,0.0,1,0,0,157306.03,0
15600148,Adams,634.0,France,Female,51,6.0,0.0,1,1,0,25413.08,0
15600149,Williams,729.0,Germany,Male,50,3.0,35824.38,1,1,1,357.64,1
15600150,Nelson,469.0,France,Female,79,0.0,59158.3,1,1,0,130344.64,1
15600151,Anderson,762.0,France,Male,57,4.0,250139.46,1,1,0,182466.73,0
15600152,Rivera,729.0,France,Female,57,8.0,84574.0,1,1,0,45268.5,0
15600153,Anderson,770.0,France,Male,62,6.0,59468.03,1,0,0,49330.46,0
15600154,Perez,645.0,Spain,Female,67,10.0,0.0,1,0,1,178332.85,0
15600155,King,747.0,Spain,Female,55,0.0,84017.44,1,1,1,122162.62,0
15600156,Miller,509.0,Germany,Male,45,0.0,0.0,1,1,0,144458.91,1
15600157,Ramirez,718.0,France,Female,60,1.0,0.0,1,0,0,97312.05,1
15600158,Sanchez,576.0,France,Female,70,0.0,63007.87,2,0,1,191147.01,0
15600159,Flores,491.0,France,Female,60,6.0,0.0,2,0,1,123974.35,0
15600160,Roberts,542.0,France,Female,64,6.0,59311.53,2,0,0,14435.32,1
15600161,King,651.0,Germany,Male,50,8.0,65236.82,1,0,1,,1
15600162,Lee,571.0,Spain,Female,46,2.0,103222.1,1,1,0,125921.99,1
15600163,Lee,686.0,Germany,Female,57,7.0,107202.91,2,0,0,72935.67,0
15600164,Lee,476.0,Spain,Female,48,1.0,170667.67,2,0,0,34890.63,0
15600165,Green,446.0,France,Female,75,10.0,52277.97,1,1,1,64875.9,0
15600166,Taylor,782.0,France,Female,61,2.0,94851.61,2,0,0,193740.79,0
15600167,Rodriguez,737.0,France,Male,49,0.0,0.0,2,0,0,53756.55,0
15600168,Taylor,549.0,Germany,Female,43,2.0,56955.41,2,1,1,164698.03,0
15600169,Johnson,650.0,France,Male,69,5.0,134697.78,2,0,1,68222.68,0
15600170,Garcia,748.0,France,Female,44,7.0,192317.96,1,1,1,21762.74,1
15600171,Jones,690.0,Spain,Male,54,4.0,0.0,2,1,0,53133.68,0
15600172,Hill,664.0,France,Female,58,3.0,0.0,1,1,1,52327.69,0
15600173,Torres,755.0,Spain,Male,44,2.0,0.0,2,0,1,187423.88,0
15600174,Wright,580.0,France,Male,53,1.0,108719.15,1,1,0,27565.05,0
15600175,White,653.0,Spain,Male,72,9.0,51699.97,2,1,0,55874.33,0
15600176,Scott,648.0,France,Male,40,8.0,0.0,2,1,1,104823.37,0
15600177,Rodriguez,624.0,Germany,Female,69,1.0,75894.66,1,1,0,40760.88,0
15600178,Rivera,613.0,Spain,Male,57,1.0,61045.52,1,0,0,78139.47,0
15600179,Sanchez,657.0,France,Male,47,5.0,62339.8,1,1,1,30685.21,0
15600180,Campbell,653.0,Germany,Male,39,3.0,0.0,2,0,1,118071.89,0
15600181,Davis,549.0,Germany,Male,53,2.0,128645.8,1,0,0,66703.56,1
15600182,Harris,727.0,Spain,Male,48,4.0,0.0,2,0,0,115545.65,0
15600183,Wright,556.0,Germany,Male,53,4.0,92847.61,2,1,1,32815.52,0
15600184,Harris,629.0,Germany,Female,62,6.0,0.0,1,1,0,165346.26,0
15600185,Thompson,622.0,France,Female,39,8.0,0.0,2,1,0,119386.07,0
15600186,Rodriguez,684.0,France,Female,56,3.0,0.0,2,1,1,21821.62,0
15600187,Martin,447.0,France,Male,80,7.0,136609.93,2,1,1,90382.98,0
15600188,Lopez,736.0,Spain,Male,49,8.0,0.0,1,1,1,187512.42,0
15600189,Thomas,585.0,Germany,Male,60,7.0,199136.67,2,1,1,78769.94,0
15600190,Wright,767.0,Spain,Female,36,10.0,140635.65,2,0,1,163098.36,0
15600191,Young,604.0,France,Male,39,2.0,113343.03,2,1,1,62754.38,0
15600192,Walker,645.0,Germany,Male,47,8.0,0.0,1,0,0,23230.56,0
15600193,Jackson,834.0,Spain,Female,73,0.0,0.0,2,1,1,167924.85,1
15600194,Mitchell,623.0,France,Male,48,3.0,99925.04,2,1,1,7133.25,0
15600195,Jones,769.0,Germany,Male,60,7.0,0.0,2,1,1,187835.1,0
15600196,Moore,654.0,France,Female,48,10.0,85325.12,1,1,1,178876.06,0
15600197,Garcia,690.0,Spain,Female,42,1.0,115523.37,2,1,0,161160.01,0
15600198,Taylor,,France,Male,51,8.0,0.0,1,1,1,27251.4,0
15600199,Carter,731.0,Germany,Male,62,4.0,0.0,3,1,1,162715.17,0
15600200,Jackson,584.0,France,Male,69,5.0,83624.51,2,1,0,184480.36,1
15600201,Rivera,556.0,France,Male,53,9.0,115009.58,2,1,0,10566.64,0
15600202,Harris,589.0,Spain,Male,60,9.0,151374.73,2,1,0,172950.63,0
15600203,Wright,660.0,Germany,Male,55,4.0,0.0,1,1,1,176464.94,0
15600204,Thompson,629.0,France,Male,56,9.0,85136.53,2,1,1,19102.02,0
15600205,Wilson,718.0,France,Male,45,5.0,106973.67,2,1,0,123701.5,0
15600206,Hill,775.0,Germany,Female,45,2.0,81883.91,1,1,1,163359.52,0
15600207,Carter,556.0,Germany,Female,42,10.0,85609.99,2,1,1,2712.1,0
15600208,Wilson,580.0,France,Male,49,3.0,53301.0,1,1,1,60974.78,0
15600209,Hill,512.0,France,Female,66,9.0,0.0,1,0,1,197368.69,1
15600210,Wilson,845.0,France,Female,77,10.0,0.0,1,1,0,43388.86,0
15600211,Scott,679.0,Spain,Male,66,0.0,89128.41,2,0,0,32680.54,0
15600212,Flores,696.0,Spain,Female,60,7.0,74371.87,1,0,1,197078.08,1
15600213,Thompson,521.0,Germany,Male,55,9.0,111944.06,1,1,1,48731.57,0
15600214,Torres,650.0,France,Female,66,2.0,45569.05,2,1,1,132001.27,0
15600215,Wilson,699.0,Germany,Male,92,5.0,58821.67,1,0,0,153795.33,1
15600216,Brown,626.0,France,Male,57,10.0,59035.42,2,0,1,1370.16,0
15600217,Jones,753.0,Germany,Female,61,8.0,88732.53,1,1,1,106575.3,0
15600218,Thompson,850.0,France,Female,57,3.0,79996.38,2,1,0,11325.04,0
15600219,Rivera,559.0,France,Male,83,3.0,146305.76,1,1,0,178226.34,0
15600220,Miller,552.0,France,Female,53,1.0,91018.7,1,0,1,39541.16,0
15600221,Thompson,566.0,France,Female,45,10.0,89325.91,2,0,1,161582.32,1
15600222,Scott,804.0,France,Male,63,9.0,55557.85,1,1,0,2424.06,0
15600223,Hernandez,750.0,Spain,Male,45,8.0,0.0,1,1,1,77936.25,0
15600224,Torres,637.0,Germany,Male,58,4.0,48996.16,2,0,0,175832.71,0
15600225,Thomas,654.0,Spain,Female,55,4.0,0.0,1,1,0,187122.45,1
15600226,Green,572.0,Spain,Male,60,4.0,0.0,2,1,0,168453.43,0
15600227,Lewis,735.0,France,Male,55,3.0,0.0,1,1,0,178247.01,0
15600228,Ramirez,614.0,Germany,Male,37,0.0,91127.1,3,1,1,73785.15,1
15600229,Rodriguez,625.0,France,Male,62,2.0,85218.82,1,0,1,141454.49,0
15600230,White,708.0,France,Male,59,6.0,153570.69,2,0,0,51228.89,0
15600231,Nelson,632.0,France,Male,70,3.0,56963.75,1,1,1,180645.86,0
15600232,Smith,627.0,France,Male,46,1.0,0.0,1,1,0,10944.37,0
15600233,Nguyen,651.0,Spain,Male,36,4.0,100589.34,1,1,0,127940.75,0
15600234,Harris,726.0,France,Male,63,8.0,71715.71,2,1,1,66724.85,0
15600235,Scott,808.0,France,Male,63,3.0,0.0,2,1,1,68099.82,0
15600236,King,706.0,Germany,Male,62,8.0,0.0,1,1,1,141379.15,1
15600237,Perez,727.0,France,Female,33,7.0,0.0,2,1,1,35468.78,0
15600238,Thomas,631.0,Spain,Male,87,3.0,0.0,1,1,1,76451.24,1
15600239,Young,582.0,France,Male,31,6.0,86068.01,1,1,1,10429.13,0
15600240,Davis,713.0,Germany,Female,36,5.0,0.0,1,0,0,194466.79,0
15600241,Robinson,666.0,Spain,Female,41,2.0,120449.37,2,1,1,119643.54,0
15600242,Jones,513.0,France,Female,65,4.0,98027.2,2,1,0,29931.8,0
15600243,Allen,619.0,Germany,Female,72,2.0,95939.02,1,1,1,184464.92,1
15600244,Young,642.0,France,Male,55,6.0,148768.17,1,1,1,84033.45,0
15600245,Jones,601.0,France,Male,62,0.0,55270.04,1,1,0,149936.28,0
15600246,Nguyen,792.0,Spain,Male,46,0.0,79342.53,1,1,0,46369.72,0
15600247,Lee,696.0,Spain,Male,43,4.0,0.0,2,1,1,129062.7,0
15600248,Flores,782.0,France,Female,38,5.0,70167.49,2,1,0,187668.4,0
15600249,Williams,675.0,France,Female,62,5.0,50326.97,1,1,1,45669.25,0
15600250,Rodriguez,658.0,France,Female,70,0.0,75344.54,2,1,1,4640.42,1
15600251,Harris,560.0,Spain,Female,40,1.0,105509.7,1,1,1,152130.56,0
15600252,Martinez,651.0,Germany,Female,45,1.0,0.0,2,0,0,116641.46,0
15600253,Taylor,651.0,France,Male,48,0.0,77118.94,1,0,1,134738.13,0
15600254,King,519.0,Germany,Female,42,9.0,0.0,1,1,0,104431.78,0
15600255,Davis,598.0,France,Male,59,2.0,78903.33,1,1,0,100288.04,1
15600256,King,619.0,Germany,Male,50,8.0,42022.1,1,1,0,156852.79,0
15600257,Garcia,690.0,Germany,Female,74,5.0,0.0,1,1,1,86105.01,0
15600258,Rodriguez,694.0,Spain,Female,46,10.0,136504.48,1,1,1,108898.73,1
15600259,Robinson,594.0,France,Female,66,10.0,149429.55,2,1,0,65321.99,1
15600260,Flores,695.0,France,Male,39,6.0,0.0,3,1,1,150290.77,0
15600261,Rodriguez,633.0,France,Female,47,10.0,96529.66,1,0,0,110059.68,0
15600262,Anderson,375.0,Spain,Male,56,4.0,0.0,1,1,1,154028.6,0
15600263,Campbell,603.0,Germany,Female,59,4.0,0.0,1,1,0,11188.56,0
15600264,Roberts,754.0,France,Male,76,1.0,0.0,2,1,0,59673.57,0
15600265,Robinson,489.0,France,Male,58,6.0,97761.81,1,1,1,153861.7,0
15600266,Thompson,661.0,France,Male,58,7.0,0.0,1,1,1,45704.6,0
15600267,Moore,802.0,Spain,Female,43,6.0,159350.28,2,1,0,35103.21,0
15600268,Walker,577.0,Spain,Female,45,2.0,87352.3,1,0,0,183912.02,1
15600269,Robinson,650.0,France,Male,48,,65710.71,2,1,1,144632.24,0
15600270,Anderson,525.0,Germany,Male,54,2.0,85519.4,2,0,0,92581.6,0
15600271,Johnson,806.0,France,Male,53,9.0,0.0,3,1,1,122915.63,1
15600272,Davis,642.0,Spain,Female,59,1.0,0.0,2,1,0,171963.39,0
15600273,Mitchell,654.0,France,Male,74,3.0,151709.8,1,1,0,54662.93,1
15600274,Lee,780.0,France,Female,54,3.0,145142.13,2,1,1,41875.0,0
15600275,Harris,714.0,Spain,Male,64,4.0,0.0,2,1,0,116897.73,0
15600276,White,566.0,Spain,Male,45,3.0,0.0,1,1,1,49517.63,0
15600277,Flores,588.0,France,Female,77,9.0,0.0,2,1,1,53800.95,0
15600278,Brown,698.0,Germany,Female,54,5.0,0.0,1,1,0,175119.85,1
15600279,Jones,590.0,Spain,Male,77,3.0,112616.06,1,1,0,17513.62,0
15600280,Wilson,447.0,France,Male,51,3.0,131950.26,2,1,1,105349.84,1
15600281,Harris,645.0,Germany,Male,49,5.0,67948.03,1,1,1,75139.25,0
15600282,King,508.0,Germany,Male,47,3.0,0.0,1,0,0,122541.76,1
15600283,Harris,805.0,France,Male,42,9.0,71357.17,2,0,1,32950.35,0
15600284,Thompson,667.0,Germany,Female,68,1.0,0.0,2,1,0,116961.25,0
15600285,Campbell,563.0,Germany,Male,45,3.0,85794.12,2,1,1,147734.76,0
15600286,Rodriguez,583.0,France,Male,58,4.0,0.0,2,1,1,79429.7,0
15600287,Lewis,469.0,Spain,Male,41,10.0,36420.92,1,1,0,44794.45,1
15600288,Ramirez,544.0,France,Male,83,3.0,80981.47,2,0,0,123414.17,0
15600289,White,748.0,Spain,Male,68,2.0,50957.73,1,1,1,191129.34,0
15600290,Green,850.0,Germany,Female,67,4.0,0.0,1,1,1,,0
15600291,Wilson,720.0,France,Male,32,7.0,112324.63,1,1,1,24336.91,0
15600292,Mitchell,641.0,Spain,Female,56,10.0,0.0,1,1,0,2818.62,0
15600293,Taylor,609.0,France,Male,53,0.0,155391.39,1,1,1,117005.49,0
15600294,Ramirez,558.0,Spain,Male,48,7.0,260000.0,1,0,1,59184.62,0
15600295,Clark,848.0,Germany,Male,76,5.0,0.0,1,0,0,157241.4,0
15600296,Nelson,632.0,France,Female,39,3.0,153588.72,1,1,1,169799.03,0
15600297,Perez,850.0,Spain,Male,62,1.0,47636.06,2,1,0,68322.5,0
15600298,Anderson,784.0,France,Female,46,7.0,106941.8,1,1,1,193420.72,0
15600299,Johnson,483.0,Spain,Male,41,6.0,104795.68,1,1,1,63234.26,0
15600300,Jackson,586.0,Spain,Female,50,1.0,260000.0,1,0,0,27912.32,0
15600301,Adams,586.0,Spain,Male,50,6.0,75547.33,2,1,1,72379.98,0
15600302,Smith,642.0,France,Male,59,5.0,109973.82,2,1,1,158036.55,0
15600303,Hall,644.0,Spain,Female,70,4.0,0.0,4,1,1,181737.08,1
15600304,Ramirez,850.0,Spain,Male,52,5.0,0.0,2,1,1,160471.73,0
15600305,Davis,547.0,Spain,Male,37,10.0,83937.6,2,0,1,175961.62,0
15600306,Thomas,672.0,Spain,Female,45,4.0,82051.19,1,1,0,65951.44,0
15600307,Ramirez,709.0,Germany,Female,52,9.0,0.0,1,0,1,171746.7,0
15600308,Thomas,650.0,France,Female,49,0.0,100764.38,2,1,1,166697.94,0
15600309,Garcia,661.0,France,Male,62,8.0,59690.31,1,0,1,140344.01,0
15600310,King,550.0,Germany,Male,59,8.0,74627.55,2,1,1,178692.13,0
15600311,King,660.0,France,Male,65,7.0,0.0,2,0,1,64513.62,0
15600312,Garcia,699.0,Germany,Male,34,4.0,84782.8,1,1,0,89026.33,1
15600313,Anderson,681.0,Spain,Male,68,0.0,133117.07,1,1,1,48870.05,0
15600314,Gonzalez,705.0,Germany,Male,37,0.0,86312.26,1,1,1,111670.6,1
15600315,Allen,786.0,Spain,Male,61,3.0,0.0,1,1,1,10923.42,1
15600316,Torres,740.0,Germany,Male,73,1.0,82566.17,2,1,0,5721.91,0
15600317,Torres,657.0,Spain,Male,35,2.0,27902.81,2,1,0,17155.49,0
15600318,Campbell,538.0,Spain,Male,33,0.0,88087.32,1,1,0,46100.23,0
15600319,Hill,592.0,France,Male,53,4.0,0.0,1,1,1,32520.76,1
15600320,Taylor,629.0,France,Male,49,9.0,0.0,2,1,1,172430.6,0
15600321,Garcia,674.0,France,Female,40,1.0,121750.54,2,0,1,176561.61,0
15600322,Walker,604.0,Germany,Male,33,4.0,0.0,1,1,1,112134.42,0
15600323,Rivera,560.0,France,Male,69,3.0,0.0,2,1,1,64033.94,0
15600324,Carter,536.0,Germany,Female,41,4.0,80215.52,2,0,1,51491.06,0
15600325,Lopez,491.0,Spain,Male,92,6.0,0.0,2,0,0,92357.05,1
15600326,Lopez,627.0,France,Male,41,10.0,91308.63,2,1,0,184735.53,0
15600327,Johnson,509.0,Germany,Female,42,1.0,0.0,2,0,1,131647.3,1
15600328,Davis,554.0,France,Female,31,3.0,0.0,1,1,0,178667.68,0
